Datum,Start,Einde,Plaats,Categorie,Omschrijving,Issue #,Opmerkingen
01/04/17,19:30,21:15,Extern,Projectwerk,Starten met integratie convertor en logging met multithreading,56 57,
01/04/17,23:00,23:59,Extern,Projectwerk,Verder werken aan integratie van multithreading + testing,56 57,
02/04/17,00:00,00:45,Extern,Projectwerk,Multithreading integratie afwerken & testen,56 57,
03/04/17,11:00,12:30,Extern,Projectwerk,Opzoekingen callables & futures om multithreading te moderniseren / verbeteren,41,
03/04/17,17:00,18:30,Extern,Projectwerk,Implementatie met callable & future voor convertorthreads + callback voor efficiëntie,56 57,
03/04/17,20:00,22:15,Extern,Projectwerk,Verdere implementatie van multithreading + onderzoek naar het enorm hoge cpu gebruik,56 57,
03/04/17,23:15,23:59,Extern,Projectwerk,Debuggen LogThread is enorm ineffiënt dus volledig herschrijven met timer & eigen timertask afgeleide,56 57,
04/04/17,00:00,00:30,Extern,Projectwerk,Afwerken integratie en performantieverhoging nieuwe iteratie verbruikt 30X minder cpu tijd tijdens idle,57,
04/04/17,09:00,11:15,Extern,Projectwerk,Terugweg back-end -> front-end,57,
04/04/17,12:00,12:45,Extern,Projectwerk,Terugweg back-end -> front-end,57,
04/04/17,16:30,18:30,Extern,Projectwerk,Downloadservlet voor geconverteerde files,41,
04/04/17,20:00,22:30,Extern,Projectwerk,Downloadservlet afwerken & geheel testen,41,
04/04/17,23:45,23:59,Extern,Projectwerk,Webapp testing & deploy op webslide.ugent.be,72,
05/04/17,00:00,02:00,Extern,Projectwerk,javadoc & verder werken aan deploy op webslide.ugent.be,41,
06/04/17,19:30,21:30,Extern,Projectwerk,front-end download-veld om duidelijkheid te verhogen gekoppeld aan berichten van de server,57,
06/04/17,22:45,23:59,Extern,Projectwerk,front-end download regio met animaties,57,
07/04/17,00:00,00:45,Extern,Projectwerk,front-end download regio met animaties afwerken & testen,57,
07/04/17,10:00,12:15,Extern,Projectwerk,front-end gesplitst downloadveld js opkuisen en beter scheiden + gebruik maken van nieuwe versie conterter,57,
07/04/17,14:00,16:00,Extern,Projectwerk,lege output in de downloadbare bestanden oorzaak achterhalen & oplossen (targetInvocationException),75,
09/04/17,10:30,11:30,Extern,Projectwerk,proberen vast te stellen of een bestand volledig verwerkt wordt en op basis daarvan de gebruiker de kans geven om het te downloaden of niet (betere exception handling nodig in converter),75,
09/04/17,14:00,15:15,Extern,Projectwerk,outputType meegeven via webapplicatie en kleine veranderingen aan o.a. ServerEndpoint om de code op te kuisen,75,
09/04/17,16:15,18:15,Extern,Projectwerk,Pull requests om hogere branches up-to-date te houden & webapplicatie aanpassen om op de server te kunnen deployen (werken omheen user privileges) -> deployen -> testen (ook simultaan gebruik testen) chrome & firefox,57,
15/04/17,00:15,01:00,Extern,Projectwerk,File upload vuln verder testen (proberen om vermomde executable uit te laten voeren),72,
15/04/17,14:00,14:30,Extern,Projectwerk,Kleine verbeteringen aan de code voor de webapplicatie,75,
15/04/17,14:30,17:30,Extern,Projectwerk,Visual paradigm activity diagram overview voor de webapplicatie,71,
16/04/17,00:00,01:00,Extern,Projectwerk,Spidering + analyse van statuscodes,72,
17/04/17,15:00,17:45,Extern,Projectwerk,Security filter + documentatie,71 75,
18/04/17,08:15,11:00,Campus,Projectwerk,Overleg PRs integratie vernieuwde converter in webapp,75,
18/04/17,15:00,17:00,Extern,Projectwerk,Foutopsporing in converter callables + front-end design update om meer duidelijkheid te brengen,75 71,
19/04/17,20:45,21:15,Extern,Projectwerk,Nieuwe deploy op webserver (aangepaste versie webapp nog steeds vereist),75,
20/04/17,13:30,17:30,Campus,Projectwerk,Overleg & integratie van vernieuwde converter met bugfixes & meer opties + deployment,75,
21/04/17,22:30,23:30,Extern,Projectwerk,PRs mergen & kleine aanpassingen aan code & docs,75,
22/04/17,16:00,18:00,Extern,Projectwerk,DAOlib code review + opzoekingswerk MySql BLOB database,,
23/04/17,10:00,11:00,Extern,Projectwerk,Webapplicatie gebruiksvriendelijkheid laten testen door buitenstaanders,72,
24/04/17,10:30,12:30,Extern,Projectwerk,Encoding bugfixing onderzoeken of oorzaak aan webapp kant ligt,52,
24/04/17,16:00,17:30,Extern,Projectwerk,Verslag sprint 2 en updates documentatie,verslag,
24/04/17,17:30,18:30,Extern,Projectwerk,UML verslag sprint 2 updates, verslag,
24/04/17,19:15,21:45,Extern,Projectwerk,Verslag sprint 2, verslag,
24/04/17,22:00,22:45,Extern,Projectwerk,Verslag sprint 2, verslag,
24/04/17,22:45,23:30,Extern,Projectwerk,Github PR's en release + server maintenance,,
24/04/17,23:30,23:59,Extern,Projectwerk,Verslag sprint 2, verslag,
25/04/17,00:00,01:30,Extern,Communicatie,sprint 2 voorbereiden,,
25/04/17,08:15,09:00,Campus,Projectwerk,Stand-up meeting + presentatie voorbereiden + live demo voorbereiden,,
25/04/17,09:00,09:45,Campus,Communicatie,Meeting 2 klant presentatie + live demo,,
25/04/17,09:45,12:30,Campus,Projectwerk,Opstellen product & sprint backlog voor sprint 3 + starten met de nieuwe issues,,
