Datum,Start,Einde,Plaats,Categorie,Omschrijving,Issue #,Opmerkingen
20/03/17,18:00,18:25,Extern,Communicatie,presentatie oefenen,,
20/03/17,19:10,20:00,Extern,Projectwerk,implementatie writer,47,
20/03/17,20:00,20:40,Extern,Projectwerk,Testing,59,
21/03/17,10:30,11:45,Campus,Communicatie,presentaties,,
23/03/17,13:30,17:40,Campus,Projectwerk,implementatie writer,47,
24/03/17,22:05,22:30,Extern,Projectwerk,bug zoeken,,
24/03/17,22:30,22:55,Extern,Projectwerk,backlog uitgebreider schrijven + bekijken problemen/dringende aanpassingen,,
24/03/17,23:00,23:20,Extern,Projectwerk,JUnit test TemplateWriter,64,
24/03/17,23:20,23:35,Extern,Projectwerk,opleidingsonderdeel en hoofdstuk in template,65,
24/03/17,23:35,23:55,Extern,Projectwerk,toevoegen output library ipv klassen + testen,66,
28/03/17,08:15,10:30,Campus,Projectwerk,overleg + lists htmlwriter,63,
28/03/17,10:30,12:30,Campus,Communicatie,presentaties,,
30/03/17,10:40,11:10,Campus,Projectwerk,verslag lezen en diagrammen bekijken,,
30/03/17,13:30,15:30,Campus,Projectwerk,BLOB,69,
30/03/17,15:30,17:30,Campus,Projectwerk,aanpassing ontwerp,,
03/04/17,15:30,18:00,Extern,Projectwerk,peerevaluatie + ontwerp aanpassing output converter (zip mogelijkheid toegevoegd),,
04/04/17,10:45,11:30,Extern,Projectwerk,Aanpassingen aan webapp bekijken,,
04/04/17,11:30,12:00,Extern,Projectwerk,Uitbreiding zipper voor directories,70,
04/04/17,14:25,15:30,Extern,Projectwerk,Uitbreiding zipper voor directories,70,
10/04/17,13:55,16:35,Extern,Projectwerk,converter aanpassen aan nieuwe webapp,77,
11/04/17,13:00,16:25,Extern,Projectwerk,converter aanpassen aan nieuwe webapp,77,
11/04/17,16:45,19:05,Extern,Projectwerk,converter aanpassen aan nieuwe webapp,77,
11/04/17,19:35,20:05,Extern,Projectwerk,converter aanpassen aan nieuwe webapp,77,
11/04/17,21:55,23:59,Extern,Projectwerk,converter aanpassen aan nieuwe webapp,77,
12/04/17,00:00,00:30,Extern,Projectwerk,converter aanpassen aan nieuwe webapp,77,
12/04/17,11:15,11:40,Extern,Projectwerk,schema tabel,,
12/04/17,12:10,12:45,Extern,Projectwerk,converter aanpassen aan nieuwe webapp,77,
12/04/17,13:10,16:05,Extern,Projectwerk,converter aanpassen aan nieuwe webapp,77,
12/04/17,16:10,16:30,Extern,Projectwerk,issues lezen en bijwerken,,
12/04/17,16:30,16:55,Extern,Projectwerk,output in HTMLWriter constructor met tests,,
12/04/17,16:55,18:20,Extern,Projectwerk,Uitwerken HTMLWriter,63,
12/04/17,20:00,22:40,Extern,Projectwerk,Uitwerken HTMLWriter,63,
13/04/17,10:30,11:45,Extern,Projectwerk,bugs zoeken en rapporteren,,
13/04/17,11:45,12:00,Extern,Projectwerk,htmlwriter,63,
13/04/17,12:00,13:00,Extern,Projectwerk,memory test,,
13/04/17,13:30,14:30,Extern,Projectwerk,memory test,,
13/04/17,14:55,16:10,Extern,Projectwerk,memory test,,
13/04/17,16:25,16:45,Extern,Projectwerk,memory test,,
17/04/17,16:35,17:20,Extern,Projectwerk,pull request + evolutie bugs,,
18/04/17,08:15,12:30,Campus,Projectwerk,output converter,,
18/04/17,13:30,16:35,Extern,Projectwerk,output converter,,
18/04/17,16:45,17:55,Extern,Projectwerk,output converter,,
18/04/17,18:00,19:25,Extern,Projectwerk,output converter,,
18/04/17,21:15,23:30,Extern,Projectwerk,output converter,,
19/04/17,08:20,10:15,Extern,Projectwerk,template folder in jar,,
19/04/17,13:25,14:55,Extern,Projectwerk,stress and memory tests,,
19/04/17,15:05,17:55,Extern,Projectwerk,stress and memory tests,,
19/04/17,18:05,19:25,Extern,Projectwerk,stress and memory tests,,
19/04/17,20:05,21:00,Extern,Projectwerk,stress and memory tests,,
19/04/17,21:10,23:15,Extern,Projectwerk,verslag + wiki + javadoc,,
20/04/17,13:30,17:35,Campus,Projectwerk,groepsoverleg + memory test + bugfix paths,,
20/04/17,18:30,19:05,Extern,Projectwerk,template in jar,,
20/04/17,19:30,21:00,Extern,Projectwerk,template in jar,,
20/04/17,21:15,22:10,Extern,Projectwerk,bugfix exceptions + javadoc zipper,,
21/04/17,15:25,17:15,Extern,Projectwerk,update converter + tests sprint 3,,
22/04/17,10:30,11:35,Extern,Projectwerk,alternatief pdf lib zoeken,,
22/04/17,13:05,14:15,Extern,Projectwerk,alternatief pdf lib testen,,
22/04/17,14:15,15:15,Extern,Projectwerk,update wiki,,
22/04/17,15:15,16:40,Extern,Projectwerk,nested lists fix,78,
22/04/17,16:50,18:20,Extern,Projectwerk,nested lists fix,78,
22/04/17,18:55,21:50,Extern,Projectwerk,nested lists fix,78,
23/04/17,11:45,13:20,Extern,Projectwerk,tests,,
23/04/17,13:50,16:15,Extern,Projectwerk,verslag,,
23/04/17,16:30,17:30,Extern,Projectwerk,verslag,,
23/04/17,17:40,17:55,Extern,Projectwerk,probleem lib + logboek,,
23/04/17,18:25,18:30,Extern,Projectwerk,controle schema,,
23/04/17,19:45,20:50,Extern,Projectwerk,update lib + testen,,
24/04/17,16:20,17:40,Extern,Projectwerk,chars fix,,
25/04/17,08:15,09:00,Campus,Projectwerk,overleg,,
25/04/17,09:00,09:40,Campus,Projectwerk,meeting,,
25/04/17,09:40,11:00,Campus,Projectwerk,backlog opstellen en overleg,,
25/04/17,11:00,12:15,Campus,Projectwerk,p in li-tag weg en dubbele strong,92,
25/04/17,17:40,18:30,Extern,Projectwerk,header en footer css,97,
25/04/17,18:40,19:00,Extern,Projectwerk,header en footer css,97,
25/04/17,21:20,22:35,Extern,Projectwerk,header en footer css,97,
26/04/17,14:40,15:55,Extern,Projectwerk,layout,97,
